Bug ID,Opened,Changed,Reporter,Product,Component,Status,Resolution,Hardware,OS,Severity,Version,Summary,Assignee
861492,17.20134259,0,0.002880278,1,0.155807961,1,0.131671662,0.150812431,0.218225798,0.16600936,0.002524057,57,0.005720824
861516,0.083333333,0,0.002880278,1,0.155807961,1,0.131671662,0.777251932,0.753588894,0.16600936,0.002524057,40,0.095074643
862322,3.745972222,2259.472778,0.002880278,1,0.023715623,1,0.096387443,0.777251932,0.753588894,0.16600936,0.002524057,34,0.003541462
865924,10.17961806,0,0.002880278,1,0.155807961,1,0.022558763,0.777251932,0.753588894,0.16600936,0.002524057,69,0.095074643
867029,3.792997685,0,0.00233683,1,0.023715623,1,0.463742967,0.777251932,0.753588894,0.16600936,0.002524057,50,0.002942138
867035,0.006793981,1228.332396,0.00233683,1,0.155807961,1,0.463742967,0.777251932,0.753588894,0.16600936,0.002524057,50,0.005720824
877703,32.62456019,0,0.000326069,1,0.00557396,1,0.100278698,0.777251932,0.753588894,0.16600936,0.019298522,73,0.002942138
877792,0.598645833,1027.442234,0.000326069,1,0.00557396,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,96,0.002996622
880980,9.567789352,0,5.43E-05,1,0.023715623,1,0.131671662,0.777251932,0.753588894,0.16600936,0.019298522,150,0.095074643
881737,1.140011574,914.490706,0.001358622,1,0.155807961,1,0.096387443,0.777251932,0.753588894,0.16600936,0.002524057,55,0.022011551
883829,5.941944444,0,0.00233683,1,0.023715623,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,62,0.002942138
883831,0.00181713,0,0.00233683,1,0.021980333,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,60,0.002942138
883836,0.001099537,3.47E-05,0.00233683,1,0.072882158,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,60,0.002942138
883844,0.002430556,204.5746181,0.00233683,1,0.155807961,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,58,0.002942138
883848,0.004490741,0,0.00233683,1,0.00557396,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,61,0.002942138
885530,4.540486111,1027.437593,0.001630346,1,0.010779829,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,36,0.002942138
885888,0.866319444,0,0.000271724,1,0.010779829,1,0.463742967,0.777251932,0.753588894,0.16600936,0.07488037,35,0.002942138
887209,3.506655093,1158.527245,0.007608282,1,0.155807961,1,0.096387443,0.777251932,0.753588894,0.16600936,0.019298522,91,0.095074643
887956,3.275960648,8.523564815,0.001630346,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,42,0.002942138
888066,0.259375,0,0.005488832,1,0.023715623,1,0.085870537,0.777251932,0.753588894,0.16600936,0.006993742,70,0.003759398
888082,0.039490741,0,0.005488832,1,0.021980333,1,0.085870537,0.777251932,0.753588894,0.16600936,0.006993742,35,0.095074643
888098,0.027025463,0,0.005488832,1,0.00220855,1,0.100278698,0.777251932,0.753588894,0.16600936,0.006993742,38,0.095074643
888328,0.545439815,0,0.002825933,1,0.023715623,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,45,0.002942138
888408,0.106377315,141.3790046,0.002825933,1,0.021980333,1,0.022558763,0.777251932,0.753588894,0.16600936,0.019298522,33,0.095074643
888444,0.060613426,1027.685486,0.001086897,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,56,0.022011551
888461,0.017071759,0,0.005488832,1,0.155807961,1,0.100278698,0.777251932,0.753588894,0.16600936,0.006993742,53,0.005720824
888537,0.098032407,0,0.000597794,1,0.021980333,1,0.131671662,0.777251932,0.753588894,0.16600936,0.019298522,31,0.095074643
889783,4.737824074,939.4728588,0.002934623,1,0.00557396,1,0.131671662,0.777251932,0.753588894,0.16600936,0.019298522,66,0.095074643
890034,0.969884259,0.453263889,0.002934623,1,0.00557396,1,0.131671662,0.777251932,0.753588894,0.16600936,0.019298522,70,0.095074643
890354,2.094074074,0,0.001793381,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,82,0.022011551
891349,7.036759259,1027.457998,0.000380414,1,0.155807961,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,29,0.005720824
891700,1.052858796,0,0.000434759,1,0.039596151,1,0.463742967,0.777251932,0.753588894,0.16600936,0.07488037,43,0.000381388
892327,2.978263889,1181.923519,0.005869246,1,0.023715623,1,0.463742967,0.777251932,0.753588894,0.16600936,0.019298522,78,0.003759398
